Sheet,Parameter,Parameter Code,Unit,Definition,,,
SpecificTechHydroDams,Dam Storage Constraint Long Name,Par_storage_con,,Technology code: D_{CountryCode}HYDM_{ProjectName},,,
SpecificTechHydroDams,Dam Storage Constraint Short Name,,,"Named as D001, D002, and so on based on dam hydropower technologies in the country.",,,
SpecificTechHydroDams,Available dam storage capacity,Par_storage_up,MWyr,Storage volume that can be used by the power plant in energy terms.,,,
SpecificTechHydroDams,River-storage coefficient,Par_river_coef,,,,,
SpecificTechHydroDams,Storage-PP coefficient,Par_stor_coef,,,,,
Battery&PumpStandage,Description,Par_descr1,,Includes technology name (Battery Storage or Pump Storage) and storage hours.,,,
Battery&PumpStandage,Corresponding Proxy Tech,,,Technology code: {CountryCode}ELPT{StorageHours} for battery storage and {CountryCode}ELPTPS for pump storage.,,,
Battery&PumpStandage,Hours of storage,Par_hrs,hours,Storage hours offered by the techniology.,,,
Battery&PumpStandage,Storage efficiency,Par_moutp,%,Ratio of energy output by the system to the energy input to the system.,,,
Battery&PumpStandage,RelationSSLongName,,,Technology code: SS_{CountryCode}{StorageTechnologyCode},,,
Battery&PumpStandage,RelationSSShortName,,,"Named as SS01, SS02, and so on based on storage technologies available in the country.",,,
Battery&PumpStandage,Proxy Capacity Constraint Long Name,,,Technology code: PC_{CountryCode}{StorageTechnologyCode},,,
Battery&PumpStandage,Proxy Capacity Constraint Short Name,,,"Named as PC01, PC02, and so on based on storage technologies available in the country.",,,
Battery&PumpStandage,Rel.SS-Proxy Constraint Long Name,,,Technology code: PS_{CountryCode}{StorageTechnologyCode},,,
Battery&PumpStandage,Rel.SS-Proxy Constraint Short Name,,,"Named as PS01, PS02, and so on based on storage technologies available in the country.",,,
Battery&PumpStandage,ST_Act.1.-SS Coefficient,,,,,,
Battery&PumpStandage,ST_Act.2.-SS Coefficient,,,Same as efficiency.,,,
Battery&PumpStandage,ST_Cap-PC Coefficient,,,,,,
Battery&PumpStandage,PT_Cap-PC Coefficient,,,,,,
Battery&PumpStandage,PT_Act.1.-PS Coefficient,,,,,,
Battery&PumpStandage,SS-PS Coefficient,,,,,,
Interconnectands,Desciption,Par_Descr1,,List of possible generic interconnectors between country 1 and country 2 in the model.,,,
Interconnectands,First Year,Par_fyear,,First year in which the technology can be built in the future.,,,
Interconnectands,Efficiency,Par_moutp,,Efficiency of transmission.,,,
Interconnectands,Total Capacity Upper Limit,Par_bdi_up,,Maximum possible installed transfer capacity of the interconnectors.,,,
Interconnectands,hist.string,Par_hisc,,,,,
Interconnectands,Overnight Cost,Par_inv,$/kW,Overnight costs in constant prices of base year.,,,
SpecificCapacityLimits and InterconnectandsCapLimits,New capacity fixed limit,,MW,Fixed limit on new capacity addition of the technology.,,,
SpecificCapacityLimits and InterconnectandsCapLimits,New capacity lower limit,,MW,Minimum new capacity addition of the technology.,,,
SpecificCapacityLimits and InterconnectandsCapLimits,New capacity upper limit,,MW,Maximum new capacity addition of the technology.,,,
SpecificCapacityLimits and InterconnectandsCapLimits,Total capacity fixed limit,,MW,Fixed limit on total installed capacity of the technology.,,,
SpecificCapacityLimits and InterconnectandsCapLimits,Total capacity lower limit,,MW,Minimum total installed capacity of the technology.,,,
SpecificCapacityLimits and InterconnectandsCapLimits,Total Capacity Upper Limit,,MW,Maximum total installed capacity of the technology.,,,
"VRE_Zones (PVZones, WindZones, OffshandeWindZones, CSP6hrZones, CSP12hrZones)",Description,Par_descr1,,Name of PV or Wind Zones within the country.,,,How does Update Profile Data button work? From which location does it update the data?
VRE_Zones,Total Capacity Upper Limit,Par_bdi_up,MW,Maximum possible installed capacity of the VRE technology within the given zone.,,,
VRE_Zones,Latitude,Par_lat,degrees,Latitude of the given VRE zone.,,,
VRE_Zones,Longitude,Par_long,degrees,Longitude of the given VRE zone.,,,
VRE_Zones,Offset Investment (connection to road+grid) extension,Par_offsetinv,$/kW? To be verified,Offset investment to account for connection to road and grid extension for the VRE zones.,,,
WindZones,Multiplier Investment (according to turbine class),Par_multinv,multiplication factor,Factor to scale investment cost for onshore wind technologies.,,,
